,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New,Market Value New
0,0,2231,"World Cup Qualifiers, Africa, 2026",Mozambique vs Algeria,19-11-2023,Algeria,DZ,2023,SUCCESS,Amine Gouiri,35000000.0,True,Found in Curr Season,False,Amine Gouiri,A Gouiri,single,Done,35000000
1,1,2234,"World Cup Qualifiers, Africa, 2026",Zimbabwe vs Nigeria,19-11-2023,Nigeria,NG,2023,SUCCESS,Nathan Tella,23000000.0,True,Found in Curr Season,False,Nathan Tella,N Tella,single,Done,23000000
2,2,3647,"Gold Cup, 2013",Martinique vs Mexico,14-07-2013,Martinique,MQ,2013,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,Done,0
3,3,3647,"Gold Cup, 2013",Martinique vs Mexico,14-07-2013,Martinique,MQ,2013,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,G Arnolin,none,Done,0
4,4,3647,"Gold Cup, 2013",Martinique vs Mexico,14-07-2013,Martinique,MQ,2013,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Babin,none,Done,0
5,5,3648,"Gold Cup, 2013",Canada vs Martinique,07-07-2013,Martinique,MQ,2013,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,Done,0
6,6,3648,"Gold Cup, 2013",Canada vs Martinique,07-07-2013,Martinique,MQ,2013,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,G Arnolin,none,Done,0
7,7,3648,"Gold Cup, 2013",Canada vs Martinique,07-07-2013,Martinique,MQ,2013,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Babin,none,Done,0
8,8,3663,"Gold Cup, 2013",Panama vs Martinique,12-07-2013,Martinique,MQ,2013,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,K Olimpa,none,Done,0
9,9,3663,"Gold Cup, 2013",Panama vs Martinique,12-07-2013,Martinique,MQ,2013,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,G Arnolin,none,Done,0
10,10,3663,"Gold Cup, 2013",Panama vs Martinique,12-07-2013,Martinique,MQ,2013,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Babin,none,Done,0
11,11,2203,"World Cup Qualifiers, Africa, 2026",Algeria vs Somalia,16-11-2023,Algeria,DZ,2023,SUCCESS,Amine Gouiri,35000000.0,True,Found in Curr Season,False,Amine Gouiri,A Gouiri,single,Done,35000000
12,12,2773,"World Cup Qualifiers, Europe, 2014",San Marino vs England,22-03-2013,England,EN,2013,SUCCESS,Joleon Lescott,13800000.0,True,Only Before,False,Joleon Lescott,J Lescott,none,Done,13800000
13,13,3794,"Gold Cup, 2023",Costa Rica vs Martinique,05-07-2023,Martinique,MQ,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,R Labonne,none,Done,0
14,14,3794,"Gold Cup, 2023",Costa Rica vs Martinique,05-07-2023,Martinique,MQ,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,F Poulolo,none,Done,0
15,15,3794,"Gold Cup, 2023",Costa Rica vs Martinique,05-07-2023,Martinique,MQ,2023,FAIL - NO DATA,0,0.0,True,Online Lookup Required,False,0,J Rivierez,none,Done,0
