Team Name,Interval Range,Total Matches,Total Wins,Win Percentage,Interval Side
Bolivia,$5000000.0 - $10000000,0,0,0,More Valuable
Bolivia,$10000000 - $50000000.0,0,0,0,More Valuable
Bolivia,$50000000.0 - $100000000,0,0,0,More Valuable
Bolivia,$100000000 - $500000000.0,0,0,0,More Valuable
Bolivia,$500000000.0 - $1000000000,0,0,0,More Valuable
Bolivia,$-100000 - $-500000.0,0,0,0,Less Valuable
Bolivia,$-1000000 - $-5000000.0,3,0,0.0,Less Valuable
Bolivia,$-5000000.0 - $-10000000,2,1,50.0,Less Valuable
Bolivia,$-10000000 - $-50000000.0,25,5,20.0,Less Valuable
Bolivia,$-50000000.0 - $-100000000,9,2,22.22222222222222,Less Valuable
Bolivia,$-100000000 - $-500000000.0,23,3,13.043478260869565,Less Valuable
Bolivia,$-500000000.0 - $-1000000000,3,0,0.0,Less Valuable
Bosnia,$100000 - $500000.0,2,1,50.0,More Valuable
Bosnia,$1000000 - $5000000.0,0,0,0.0,More Valuable
Bosnia,$5000000.0 - $10000000,3,1,33.33333333333333,More Valuable
Bosnia,$10000000 - $50000000.0,15,5,33.33333333333333,More Valuable
Bosnia,$50000000.0 - $100000000,28,21,75.0,More Valuable
Bosnia,$100000000 - $500000000.0,4,3,75.0,More Valuable
Bosnia,$500000000.0 - $1000000000,0,0,0.0,More Valuable
Bosnia,$-100000 - $-500000.0,0,0,0,Less Valuable
Bosnia,$-1000000 - $-5000000.0,1,0,0.0,Less Valuable
Bosnia,$-5000000.0 - $-10000000,0,0,0,Less Valuable
Bosnia,$-10000000 - $-50000000.0,1,0,0.0,Less Valuable
Bosnia,$-50000000.0 - $-100000000,6,2,33.33333333333333,Less Valuable
Bosnia,$-100000000 - $-500000000.0,15,0,0.0,Less Valuable
Bosnia,$-500000000.0 - $-1000000000,2,0,0.0,Less Valuable
Botswana,$100000 - $500000.0,6,3,50.0,More Valuable
Botswana,$1000000 - $5000000.0,0,0,0.0,More Valuable
Botswana,$5000000.0 - $10000000,0,0,0.0,More Valuable
Botswana,$10000000 - $50000000.0,0,0,0.0,More Valuable
Botswana,$50000000.0 - $100000000,0,0,0.0,More Valuable
Botswana,$100000000 - $500000000.0,0,0,0.0,More Valuable
Botswana,$500000000.0 - $1000000000,0,0,0.0,More Valuable
Botswana,$-100000 - $-500000.0,6,1,16.666666666666664,Less Valuable
Botswana,$-1000000 - $-5000000.0,12,4,33.33333333333333,Less Valuable
Botswana,$-5000000.0 - $-10000000,4,2,50.0,Less Valuable
Botswana,$-10000000 - $-50000000.0,17,2,11.76470588235294,Less Valuable
Botswana,$-50000000.0 - $-100000000,2,0,0.0,Less Valuable
Botswana,$-100000000 - $-500000000.0,1,0,0.0,Less Valuable
Botswana,$-500000000.0 - $-1000000000,0,0,0.0,Less Valuable
Brazil,$100000 - $500000.0,0,0,0,More Valuable
Brazil,$1000000 - $5000000.0,0,0,0,More Valuable
Brazil,$5000000.0 - $10000000,0,0,0,More Valuable
Brazil,$10000000 - $50000000.0,1,0,0.0,More Valuable
Brazil,$50000000.0 - $100000000,3,0,0.0,More Valuable
Brazil,$100000000 - $500000000.0,63,43,68.25396825396825,More Valuable
Brazil,$500000000.0 - $1000000000,13,11,84.61538461538461,More Valuable
Brazil,$-100000 - $-500000.0,0,0,0,Less Valuable
Brazil,$-1000000 - $-5000000.0,0,0,0,Less Valuable
Brazil,$-5000000.0 - $-10000000,0,0,0,Less Valuable
Brazil,$-10000000 - $-50000000.0,1,1,100.0,Less Valuable
Brazil,$-50000000.0 - $-100000000,0,0,0,Less Valuable
Brazil,$-100000000 - $-500000000.0,3,1,33.33333333333333,Less Valuable
Brazil,$-500000000.0 - $-1000000000,0,0,0,Less Valuable
British Virgin Islands,$-100000 - $-500000.0,1,0,0.0,Less Valuable
British Virgin Islands,$-1000000 - $-5000000.0,2,0,0.0,Less Valuable
British Virgin Islands,$-5000000.0 - $-10000000,1,0,0.0,Less Valuable
