"interval","sum_rank_prediction_correct","average_rank_prediction_correct","sample_size","seasons"
191,0,0,2,"2019_2020"
193,0,0,2,"2019_2020"
195,0,0,2,"2019_2020"
197,0,0,2,"2019_2020"
199,0,0,2,"2019_2020"
201,0,0,2,"2019_2020"
203,0,0,2,"2019_2020"
205,0,0,2,"2019_2020"
207,0,0,2,"2019_2020"
209,0,0,2,"2019_2020"
1,209,0.17358803986711,1204,"2021_2022"
3,199,0.169650468883205,1173,"2021_2022"
5,192,0.168273444347064,1141,"2021_2022"
7,170,0.155677655677656,1092,"2021_2022"
9,159,0.15014164305949,1059,"2021_2022"
11,151,0.147317073170732,1025,"2021_2022"
13,144,0.145601617795753,989,"2021_2022"
15,136,0.142707240293809,953,"2021_2022"
17,128,0.13882863340564,922,"2021_2022"
19,118,0.133635334088335,883,"2021_2022"
21,111,0.131050767414404,847,"2021_2022"
23,104,0.126984126984127,819,"2021_2022"
25,95,0.123056994818653,772,"2021_2022"
27,88,0.119727891156463,735,"2021_2022"
29,83,0.117730496453901,705,"2021_2022"
31,75,0.11177347242921,671,"2021_2022"
33,69,0.107142857142857,644,"2021_2022"
35,65,0.104166666666667,624,"2021_2022"
37,60,0.10016694490818,599,"2021_2022"
39,56,0.0963855421686747,581,"2021_2022"
41,51,0.0922242314647378,553,"2021_2022"
43,49,0.0929791271347249,527,"2021_2022"
45,47,0.0919765166340509,511,"2021_2022"
47,44,0.0897959183673469,490,"2021_2022"
49,39,0.0842332613390929,463,"2021_2022"
51,36,0.0816326530612245,441,"2021_2022"
53,32,0.0758293838862559,422,"2021_2022"
55,30,0.0757575757575758,396,"2021_2022"
57,26,0.0687830687830688,378,"2021_2022"
59,25,0.0692520775623269,361,"2021_2022"
61,24,0.0701754385964912,342,"2021_2022"
63,21,0.0658307210031348,319,"2021_2022"
65,20,0.065359477124183,306,"2021_2022"
67,19,0.0662020905923345,287,"2021_2022"
69,18,0.0661764705882353,272,"2021_2022"
71,16,0.0634920634920635,252,"2021_2022"
73,16,0.0653061224489796,245,"2021_2022"
75,16,0.0677966101694915,236,"2021_2022"
77,15,0.0666666666666667,225,"2021_2022"
79,13,0.0607476635514019,214,"2021_2022"
81,10,0.0495049504950495,202,"2021_2022"
83,10,0.0512820512820513,195,"2021_2022"
85,7,0.0378378378378378,185,"2021_2022"
87,6,0.0350877192982456,171,"2021_2022"
89,6,0.036144578313253,166,"2021_2022"
91,5,0.032258064516129,155,"2021_2022"
93,5,0.0340136054421769,147,"2021_2022"
95,4,0.0291970802919708,137,"2021_2022"
97,4,0.0298507462686567,134,"2021_2022"
99,4,0.0310077519379845,129,"2021_2022"
101,3,0.0245901639344262,122,"2021_2022"
103,3,0.0260869565217391,115,"2021_2022"
105,3,0.0283018867924528,106,"2021_2022"
107,3,0.0297029702970297,101,"2021_2022"
109,2,0.0210526315789474,95,"2021_2022"
111,2,0.021978021978022,91,"2021_2022"
113,2,0.0232558139534884,86,"2021_2022"
115,2,0.0253164556962025,79,"2021_2022"
117,2,0.027027027027027,74,"2021_2022"
119,2,0.0277777777777778,72,"2021_2022"
121,1,0.0151515151515152,66,"2021_2022"
123,1,0.0161290322580645,62,"2021_2022"
