,Unnamed: 0,Match ID,Competition,Match,Date,Nationality,Team Country Code,Season,Status,Name,Market Value,Lookup Still Required?,Lookup Return Case,Impute Required?,Name(s) Found,ORIGINAL JERSEY,Match Case,Status New
35,110,1347,"Olympics, 2016",Portugal vs Argentina,2016-08-04,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Emiliano Martínez', 'Pity Martínez']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mauricio Martinez,Mauricio Martínez,multiple,Done
36,111,1349,"Olympics, 2016",Argentina vs Algeria,2016-08-07,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Lautaro Acosta']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Lautaro Giannetti,Lautaro Gianetti,multiple,Done
37,112,1349,"Olympics, 2016",Argentina vs Algeria,2016-08-07,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Emiliano Martínez', 'Pity Martínez']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mauricio Martinez,Mauricio Martínez,multiple,Done
38,113,1350,"Olympics, 2016",Argentina vs Honduras,2016-08-10,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Lautaro Acosta']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Lautaro Giannetti,Lautaro Gianetti,multiple,Done
39,114,1350,"Olympics, 2016",Argentina vs Honduras,2016-08-10,Argentina,AR,2016,FAIL,"['Lautaro Martínez', 'Emiliano Martínez', 'Pity Martínez']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Mauricio Martinez,Mauricio Martínez,multiple,Done
40,115,1351,"Olympics, 2016",Algeria vs Portugal,2016-08-10,Portugal,PT,2016,FAIL,"['Goncalo Ramos', 'Claudio Ramos']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Francisco Ramos,Francisco Ramos,multiple,Done
41,118,2101,"World Cup Qualifiers, Africa, 2022",Equatorial Guinea vs Mauritania,07-09-2021,Mauritania,MR,2021,FAIL,"['Abou Sy', 'Ablaye Sy']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Abou Sy,A Sy,multiple,Done
42,130,1368,"Olympics, 2020",Honduras vs Romania,2021-07-22,Romania,RO,2021,FAIL,"['Valentin Crețu', 'Valentin Cojocaru', 'Valentin Lazăr']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Valentin Gheorghe,Valentin Gheorghe,multiple,Done
43,131,1407,Nations League 2018-2020,Iceland vs Switzerland,15.10.18,Iceland,IS,2018,FAIL,"['Aron Bjarnason', 'Arnór Smárason', 'Aron Gunnarsson']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Kari Arnason,Arnason,multiple,Done
44,132,1408,Nations League 2018-2020,Belgium vs Iceland,15.11.18,Iceland,IS,2018,FAIL,"['Aron Bjarnason', 'Arnór Smárason', 'Aron Gunnarsson']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Kari Arnason,Arnason,multiple,Done
45,139,4047,"World Cup 2018, Qualifiers, CONCACAF",USA vs Mexico,11-Nov-16,USA,US,2016,FAIL,"['Omar González', 'Jesse González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omar Gonzalez,Gonzalez,multiple,Done
46,142,4050,"World Cup 2018, Qualifiers, CONCACAF",Costa Rica vs USA,15-Nov-16,USA,US,2016,FAIL,"['Omar González', 'Jesse González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omar Gonzalez,Gonzalez,multiple,Done
47,145,4054,"World Cup 2018, Qualifiers, CONCACAF",USA vs Honduras,24-Mar-17,USA,US,2017,FAIL,"['Omar González', 'Jesse González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omar Gonzalez,Gonzalez,multiple,Done
48,146,4057,"World Cup 2018, Qualifiers, CONCACAF",Panama vs USA,28-Mar-17,USA,US,2017,FAIL,"['Omar González', 'Jesse González']",0,TRUE,Failed Using Name Looking at Season and Season +-1,FALSE,Omar Gonzalez,Gonzalez,multiple,Done
